순번,학수번호,교과명,교수성명,점수,소속학과,구분,영역,outline,goal,keyword
228,7721004,화학및실험1,한상윤,93.4,화학과,교양,자연과학,화학적인 표현과 의미를 숙지하고 의미를 이해해야 하는 과목이므로 복습이 필요하며 연습문제 풀이를 통한 연습이 요구된다. - 수강신청 유의 사항: 1학년 학생은 개설학과 시간표에 맞춰서 신청하기 바랍니다. 개설학과의 수업을 신청하지 않는 경우 개설학과 수업으로 강제 이동될 수 있습니다. ,화학적인 표현과 의미를 숙지하고 의미를 이해해야 하는 과목이므로 복습이 필요하며 연습문제 풀이를 통한 연습이 요구된다. - 수강신청 유의 사항: 1학년 학생은 개설학과 시간표에 맞춰서 신청하기 바랍니다. 개설학과의 수업을 신청하지 않는 경우 개설학과 수업으로 강제 이동될 수 있습니다. ,
229,7721017,화학및실험1,이승현,89.4,화학과,교양,자연과학,화학적인 표현과 의미를 숙지하고 의미를 이해해야 하는 과목이므로 복습이 필요하며 연습문제 풀이를 통한 연습이 요구된다. - 수강신청 유의 사항: 1학년 학생은 개설학과 시간표에 맞춰서 신청하기 바랍니다. 개설학과의 수업을 신청하지 않는 경우 개설학과 수업으로 강제 이동될 수 있습니다. ,화학적인 표현과 의미를 숙지하고 의미를 이해해야 하는 과목이므로 복습이 필요하며 연습문제 풀이를 통한 연습이 요구된다. - 수강신청 유의 사항: 1학년 학생은 개설학과 시간표에 맞춰서 신청하기 바랍니다. 개설학과의 수업을 신청하지 않는 경우 개설학과 수업으로 강제 이동될 수 있습니다. ,
230,7721009,화학및실험1,이상훈,88.9,화학과,교양,자연과학,화학적인 표현과 의미를 숙지하고 의미를 이해해야 하는 과목이므로 복습이 필요하며 연습문제 풀이를 통한 연습이 요구된다. - 수강신청 유의 사항: 1학년 학생은 개설학과 시간표에 맞춰서 신청하기 바랍니다. 개설학과의 수업을 신청하지 않는 경우 개설학과 수업으로 강제 이동될 수 있습니다. ,화학적인 표현과 의미를 숙지하고 의미를 이해해야 하는 과목이므로 복습이 필요하며 연습문제 풀이를 통한 연습이 요구된다. - 수강신청 유의 사항: 1학년 학생은 개설학과 시간표에 맞춰서 신청하기 바랍니다. 개설학과의 수업을 신청하지 않는 경우 개설학과 수업으로 강제 이동될 수 있습니다. ,
231,7721006,화학및실험1,강종백,86.8,화학과,교양,자연과학,화학적인 표현과 의미를 숙지하고 의미를 이해해야 하는 과목이므로 복습이 필요하며 연습문제 풀이를 통한 연습이 요구된다. - 수강신청 유의 사항: 1학년 학생은 개설학과 시간표에 맞춰서 신청하기 바랍니다. 개설학과의 수업을 신청하지 않는 경우 개설학과 수업으로 강제 이동될 수 있습니다. ,화학적인 표현과 의미를 숙지하고 의미를 이해해야 하는 과목이므로 복습이 필요하며 연습문제 풀이를 통한 연습이 요구된다. - 수강신청 유의 사항: 1학년 학생은 개설학과 시간표에 맞춰서 신청하기 바랍니다. 개설학과의 수업을 신청하지 않는 경우 개설학과 수업으로 강제 이동될 수 있습니다. ,
232,13030004,확률과통계,김우성,100,컴퓨터공학과,교양,자연과학,이 과정에서는 공학과 과학에 대한 확률 개념과 통계학을 소개합니다. 이 과정은 간단한 고등학교 수학 외에는 어떠한 선행 조건도 요구되지 않습니다. 학생들은 확률과 통계 접근법으로 현실적인 문제를 모델링하고 R 언어를 사용하여 분석하는 방법에 대해 배울 것입니다.,"R을 활용한 분석을 통해 확률과 확률분포, 다양한 운동으로 표본추출과 통계적 특성을 이해시키는 것이 이 강좌의 주요 목표다. 각 챕터에는 이론 수업 후 실제적으로 이해하기 위한 R 실습이 포함될 것입니다.",
233,13030002,확률과통계,이영호,92.4,컴퓨터공학과,교양,자연과학,"식상한 표현이지만 통계를 넘어 지금은 “데이터시대”입니다. 현실에서 보듯이 데이터과학은 레드불과 같은 각성 음료에 의지해 날밤을 새우는 해킹과, 에스프레소에 의해 영감을 받는 분석학의 혼합입니다. 우리는 매일 수많은 채널을 통해 다양한 유형의 데이터를 접하고 있습니다. 또 원하는 정보를 찾기 위해 인터넷을 통하여 정보를 검색하고 데이터를 수집합니다. 하지만 스마트 기기 및 IOT디바이스, 인터넷을 통해 수집된 데이터를 효과적으로 추출, 정리하고 분석해서 자신이 원하는 답을 얻어내는 것은 쉽지 않습니다. 따라서 본 수업에서는 실습 중심의 재미있는 사례들로 데이터분석에 대한 이해와 고민을 시작해 봅니다. 또한 데이터사이언티스트 도전을 위해 다양한 분석을 활용하는 방법을 학습합니다.","- 빅데이터시대 정보와 데이터 기술의 미래 산업을 이해 합니다. - 미래 경쟁력과 가치창출의 원천인 스몰 데이터 추출, 분석 기법을 이해합니다. - 구글, 아마존, MS의 분석 기반을 토론하고 학습합니다. - 최신 분석 서비스 기술을 이해하고 분석합니다.'",
234,13030001,확률과통계,황재천,88.4,컴퓨터공학과,교양,자연과학,"인간사회의 전 분야에서 생산되는 데이터에 대하여 수집하고 분석하여 미래 인류 문화에 이로운 정보로 재생산하거나, 이롭지 않은 데이터의 생성을 억제할 수 있는 능력을 배양하기 위하여 데이터의 수집 -> 처리 -> 분석할 수 있게 하는 학문적 이론에 대한 지식 습득을 기본 목표로하고 실습을 통하여 이론을 실무에 적용하는 능력을 배양한다.",- 자료의 수집 방법론을 학습하고 - 자료가 가지고 있는 특성에 대한 이론적 지식을 학습하여 자료 분석 능력을 배양하며 - 분석된 자료의 분석을 통하여 미래의 상황을 예측할 수 있는 능력을 배양한다.',
235,13559003,힘의이해,김효진,97,건축공학전공,교양,자연과학,"물체에 작용하는 힘의계에서 나타나는 외부적 효과를 다루는 학문으로 역학의 기본원리, 힘계, 평형, 구조등을 강의한다. 또한 역학의 원리를 응용함에 있어서 물리적 가정과 근사해를 현실에 맞추는 공학문제 해석방법을 배운다.",-국제단위계(SI)를충분히활용하고힘의물리량을계산할수있다. -힘과벡터와의관계와하중의개념을이해하고공학적모델링을작성할수있다. -미지의힘을구하기위해서힘들의관계식을계산할수있다. -물체가평형상태에있을때외부및내부힘들의관계를수식으로정립하고미지의힘을계산할 수 있다.',
236,13559001,힘의이해,신동철,94.7,건축학부,교양,자연과학,"물체에 작용하는 힘의계에서 나타나는 외부적 효과를 다루는 학문으로 역학의 기본원리, 힘계, 평형, 구조등을 강의한다. 또한 역학의 원리를 응용함에 있어서 물리적 가정과 근사해를 현실에 맞추는 공학문제 해석방법을 배운다.",-국제단위계(SI)를충분히활용하고힘의물리량을계산할수있다. -힘과벡터와의관계와하중의개념을이해하고공학적모델링을작성할수있다. -미지의힘을구하기위해서힘들의관계식을계산할수있다. -물체가평형상태에있을때외부및내부힘들의관계를수식으로정립하고미지의힘을계산할 수 있다.',
237,12415004,Basic Design,육호준,94.7,미술·디자인학부(디자인),교양,예체능,"이 과정에서는 인지 과정과 평면 인식을 시각적 지각에 기초한 공간 지각으로 이동하는 과정을 다룬다. 실무적인 과제는 매 시간 적절한 과제를 안고 수행되며, 간단한 프레젠테이션을 통해 작품에 대한 자신감과 집중력을 높인다. 또한, 본 코스는 UI/UX 설계의 기초가 되는 인지 차원 이론과 동시에 이를 통한 실용적 기술을 통해 등급 개발에 따른 학습 효과를 높일 수 있다.","이 강의를 통해 기본 몰딩의 두 가지 측면, 시각적 지각과 공간적 측면을 동시에 학습하고, 설계 전반에 걸쳐 기능하는 의미론의 원리와 현상을 학습한다. 이번 강의를 통해 학생들은 시각디자인과 산업디자인 전 분야에 효과적으로 적용할 수 있는 몰딩의 원리를 배우게 된다.",
238,12415001,Basic Design,신현숙,86.5,미술·디자인학부(디자인),교양,예체능,"일러스트레이션의 기본인 드로잉 및 조색, 배색 위주로 다양한 주제를 형상화한 카렌다를 제작해 봄으로써 다양한 이미지를 구체적으로 형상화시키는 능력을 개발","1. 사물의 세밀한 관찰, 드로잉기법개발 및 완성도 있는 이미지 제작 2. 색재료를 이용하여(포스터칼라, 아크릴, 수채화, 색연필 들) 다양한 주제를 조색과 배색 및 레이아웃의 완성도 있는 표현능력을 키움 3. 어떤 주제로 드로잉을 하던, 명확한 관찰능력과 정확한 칼라 감각을 익힘 4. 다양한 학문적 융합을 통하여 창의적 분제해결 능력을 갖출 수있는 통합적 디자인 전문인력을 양성",
239,11967001,디자인심리와 휴먼디자인,이정민,94.8,미술·디자인학부(디자인),교양,예체능,본 강좌는 모든 디자인과 조형작업의 대상인 인간의 특성을 이해하기 위한 강좌이다. 이를 위해 디자인과 조형심리의 기본원리들에 대한 이론강의를 시행한다. 또한 이론에서 배운 원리들을 디자인에 적용하여 디자인기획을 하는 실습을 시행한다.,"본강의를 수강한 후 학생들은 다음과 같은 능력을 습득할 수 있다. (1)학습성과 1; 디자인과 관련된 사용자의 지각, 인지에 대한 원리를 습득. (2)학습성과 2; 디자인에 대한 사용자의 선호성 향상원리를 습득. (3)학습성과 3; 디자인에서 사용자의 사용성 향상원리를 습득. (4)학습성과 4; 프리젠테이션 기술과 설득능력을 함양.",
240,12698003,디자인포토그라피,이제혁,97.6,미술·디자인학부(회화·조소),교양,예체능,사진의 전반적인 기초지식을 습득한다.,"사진영상이 지니고 있는 특성을 이론과 실습을 통하여 창의적인 사고와 표현을 폭 넓게하고, 사진영상을 이해하는 데 도움을 주며, 디자인과 학생들에게 있어 사진의 활용능력을 습득하는것을 목표로 한다.",
241,12698001,디자인포토그라피,곽송호,95,미술·디자인학부(디자인),교양,예체능,"사진은 말과 글 그림처럼.. 커뮤니케이션의 여러방법중 하나의 수단이며, 카메라는 필요충분 도구이다. 작금의 시대는 유투브와 SNS의 시대이다. 가볍고 유희적으로 순간순간의 감정과 이야기들을 소모적으로 표현하고 공유한다. 지금은 적합한 도구를 논하기보단.. 결정적인 순간에 쉽고 간편하게 촬영하는 것이 중요하다. 수동필름카메라, 디지털카메라..그리고 압도적으로 많은 사용량을 보이는 스마트폰. 지금의 사진은 도구보단 어떤 메세지를 전달할것인가가 중요하다. 그런의미에서 스마트폰은 가장 익숙하고 친숙하게.. 커뮤니케이션을 가능케하는 최적의 도구이다.","본 수업에서 다루고자하는 사진은.. 포토그래퍼의 입장에서 통상적으로 말하는.. 관념적이며 작가적인 개념에 취중하지 않는다. 디자이너의 입장에서.. 효과적인 커뮤니케이션을 위한 하나의 수단으로써.. 사진을 다양하게 활용할 수 있는 여러방법들을 연구코자 한다. 본 수업을 통하여 시각디자이너들이.. 사진을 잘 이해하고, 능숙하게 다루고.. 효과적인 커뮤니케이션 수단으로 사용하는데 의의가 있다.",
242,10612002,연극감상 및 비평,임영화,96.4,연기예술학과,교양,예체능,연극이론과 실제 연극감상을 통해 입체감있는 수업이다. 공연예술에 대한 기초적이고 전반적인 지식을 익힐 수 있도록 이론 설명. 공연예술자료 감상을 통해 공연 예술을 익숙해질 수 있도록 한다. 시청각자료와 실제공연관람등을 통해 공연예술감상의 기회를 제공한다. 자료 감상 후 자산의 의견제시 및 토론과 비평,"연극예술에 관심이 있거나 처음접하는 일반학생들을 대상으로 연극예술에 대한 기본개념과 원리를 익히고, 실제 감상함으로써 수업에 대한 이해도를 높이는것을 목표로 한다. 또한 시청각 감상과 실제 연극관람을 통해 다양한 연극예술을 감상할 수 있는 계기를 제공하고 현대의 문화에 대한 올바른 이해와 판단을 할 수 있도록한다.",
243,10612001,연극감상 및 비평,박경,76.6,연기예술학과,교양,예체능,"연극을 이해하는 것은 인류의 삶을 이해하려고 애쓰는 과정이다. 연극 한편을 본다고 자신의 삶이 금방 바뀌거나, 돈으로 바꿀 수 있는 능력이 생기는 것은 아니다. 여러분의 예술가가 되고자 하는 과정 또한 마찬가지이다. 오랜 시간을 가지고 자신의 삶, 타인의 삶을 성찰해 보자. 그것을 선배가 돕는다고 생각하시면 되겠다.","연극 전공자들에게 눈높이를 맞춘 수업이라는 것을 공지 한다. 좋은 공연이란 어떤 공연인지(어떤 영화인지) 그것을 만들어 내는 일원이 되려면, 일단 좋은 공연을 가려내는 눈을 가져야 한다. 좋은 공연이란 어떤 공연인가, 좋지 않은 공연이 필드에서 이루어 지고 있다면 그 문제점은 무엇인가 비평하는 능력을 키우게 돕는다.",
244,12408001,가천리더십,송진구,88.1,가천리버럴아츠칼리지,교양,대학세미나,"1.리더에게 요구되는 리더십의 기본을 학습한다. 대기업에서 입사 후 중역까지 승진하는데 소요되는 시간은 21년, 확률은 0.8%다. 기업에서는 승진단계별로 다양한 교육을 이수하는데 이러한 내용을 '선행학습'하여 리더십의 기본을 학습하는 것이 본 강좌의 목표다. 2. 사회에서 요구하는 조직구성원의 규범을 학습한다. 입사 후 28%가 1년 안에 퇴사하며, 퇴사 이유 중 '조직 부적응'이 49%로 가장 높다. 조직문화를 충분하게 인지하지 못하였기 때문에 나타난 결과이다. 따라서 '조직 구성원으로서의 사회적 문화와 규범'을 학습하는 것이 목표다. 3. 인생의 스승을 벤치마킹하여 나의 미래를 설계한다. 가천대학교는 이길여총장의 박애 봉사 애국정신을 기반으로 설립된 학교다. 이길여총장의 박애 봉사 애국을 실천하고자 살아온 사례를 매 수업시간마다 소개한다. 이를 통하여 설립이념을 이해하고, '이길여총장의 예시를 벤치마킹하여 나의 미래를 설계할 수 있도록 하는 것'이 목표다. 따라서 이런 강의스타일과 내용이 적합하지 않다고 느끼는 학생은 본 강좌보다 다른 강좌를 수강할 것을 분명하고 명확하게 권장하는 바이다.","가천리더십은 가르치는 수업이 아니고 깨우치게 하는 수업이다. - 대한민국 사회의 현실과 미래를 살펴본다. - 리더십의 개념과 이론을 학습하고, 나의 리더십 점수를 진단한다. - 식사, 주법, 차량탑승, 조문 등 리더의 기본적인 매너를 학습한다. - 비전설계 기법을 통하여 똑똑한 목표설정 방법을 학습하고, 자신의 인생의 꿈을 도형화 시킨 미래설계로드맵을 작성한다. - 박애의 정의와 사례를 학습한다. - 실천을 가로막는 원인과 해법을 찾는다. - 습관을 만드는 방법, 시간관리 기법 등 자기관리 기법을 학습한다. - 봉사의 정의와 사례를 학습하고 희망을 찾는 방법을 학습한다. - 첫인상을 좋게하는 방법과 발표를 잘하는 방법, 1분안에 상대를 파악하는 방법을 학습한다. - 애국의 정의와 사례를 학습하고 자존심과 자존감의 차이를 이해한다. - 창의성과 위기관리 능력을 학습한다. - 가천 이길여총장의 사례를 벤치마킹하여 나의 미래를 설계한다.",
245,11393001,생명과 나눔,김정수,96.5,자유전공학부,교양,대학세미나,"본 강의는 가천대의 건학 이념인 ‘박애·봉사·애국’의 기본적인 품성을 힘양하고 그것의 실천방법을 익히는 데 초점을 둔 가천대의 대표 교양 과목이다. 이웃과 국가, 나아가 인류를 사랑하고 사회적 약자를 보듬으며 살아가는 가천인으로 거듭나기 위해서는 무엇보다 생명존중의 의미를 가슴 깊이 이해하고, 이를 삶에 구현할 수 있도록 나눔의 태도를 몸에 익히는 것이 필요하다. 이에 본 수업에서는 생명과 나눔의 의미와 가치를 생명과학·윤리학·교육학·사회복지학 등 다양한 학문 분야를 아우르는 융합적인 관점에서 살펴보고, 나와 내 가족 뿐 아니라 모든 사회 구성원들의 생명이 존중받는 세상, 서로간의 나눔을 통해 보다 풍요로워지는 세상을 만들기 위한 구체적인 삶의 실천방식을 생각해볼 기회를 제공할 것이다.","본 수업의 목표는 상호 긴밀하게 연관되어 있는 세 부분으로 나누어 볼 수 있다. 첫째, 현대사회에서 생명공학과 생명의료기술의 발전이 야기하는 문제에 대해 성찰해본다. 이를 통해 학생들에게 인간은 물론, 인간을 둘러싼 생태계에 존재하는 다양한 생명의 가치에 대해 올바른 판단을 할 수 있는 기본 토대를 제공한다. 둘째, 세계화되어 가는 현대사회가 필요로 하는 세계시민으로서의 윤리, 즉, 낯선 타인을 이해하고 그들과 더불어 사는 데 필요한 삶의 자세에 대해 논의해본다. 또한, 이러한 나눔의 자세를 익히는 데 토대가 되는 가치 판단의 기준들을 알아본다. 셋째, 현대사회의 다양한 문제들을 위의 ‘생명과 나눔’이라는 관점에서 어떻게 해결할 수 있을지 함께 모색해본다. 학생 개개인은 물론, 사회적 차원에서 어떠한 노력이 필요한지 논의해본다.",
246,11393007,생명과 나눔,계승희,94.8,교육학과,교양,대학세미나,"본 강의는 가천대의 건학 이념인 ‘박애·봉사·애국’의 기본적인 품성을 힘양하고 그것의 실천방법을 익히는 데 초점을 둔 가천대의 대표 교양 과목이다. 이웃과 국가, 나아가 인류를 사랑하고 사회적 약자를 보듬으며 살아가는 가천인으로 거듭나기 위해서는 무엇보다 생명존중의 의미를 가슴 깊이 이해하고, 이를 삶에 구현할 수 있도록 나눔의 태도를 몸에 익히는 것이 필요하다. 이에 본 수업에서는 생명과 나눔의 의미와 가치를 생명과학·윤리학·교육학·사회복지학 등 다양한 학문 분야를 아우르는 융합적인 관점에서 살펴보고, 나와 내 가족 뿐 아니라 모든 사회 구성원들의 생명이 존중받는 세상, 서로간의 나눔을 통해 보다 풍요로워지는 세상을 만들기 위한 구체적인 삶의 실천방식을 생각해볼 기회를 제공할 것이다.","본 수업의 목표는 상호 긴밀하게 연관되어 있는 세 부분으로 나누어 볼 수 있다. 첫째, 현대사회에서 생명공학과 생명의료기술의 발전이 야기하는 문제에 대해 성찰해본다. 이를 통해 학생들에게 인간은 물론, 인간을 둘러싼 생태계에 존재하는 다양한 생명의 가치에 대해 올바른 판단을 할 수 있는 기본 토대를 제공한다. 둘째, 세계화되어 가는 현대사회가 필요로 하는 세계시민으로서의 윤리, 즉, 낯선 타인을 이해하고 그들과 더불어 사는 데 필요한 삶의 자세에 대해 논의해본다. 또한, 이러한 나눔의 자세를 익히는 데 토대가 되는 가치 판단의 기준들을 알아본다. 셋째, 현대사회의 다양한 문제들을 위의 ‘생명과 나눔’이라는 관점에서 어떻게 해결할 수 있을지 함께 모색해본다. 학생 개개인은 물론, 사회적 차원에서 어떠한 노력이 필요한지 논의해본다.",
247,11393002,생명과 나눔,홍을표,92,자유전공학부,교양,대학세미나,"본 강의는 가천대의 건학 이념인 ‘박애·봉사·애국’의 기본적인 품성을 힘양하고 그것의 실천방법을 익히는 데 초점을 둔 가천대의 대표 교양 과목이다. 이웃과 국가, 나아가 인류를 사랑하고 사회적 약자를 보듬으며 살아가는 가천인으로 거듭나기 위해서는 무엇보다 생명존중의 의미를 가슴 깊이 이해하고, 이를 삶에 구현할 수 있도록 나눔의 태도를 몸에 익히는 것이 필요하다. 이에 본 수업에서는 생명과 나눔의 의미와 가치를 생명과학·윤리학·교육학·사회복지학 등 다양한 학문 분야를 아우르는 융합적인 관점에서 살펴보고, 나와 내 가족 뿐 아니라 모든 사회 구성원들의 생명이 존중받는 세상, 서로간의 나눔을 통해 보다 풍요로워지는 세상을 만들기 위한 구체적인 삶의 실천방식을 생각해볼 기회를 제공할 것이다.","본 수업의 목표는 상호 긴밀하게 연관되어 있는 세 부분으로 나누어 볼 수 있다. 첫째, 현대사회에서 생명공학과 생명의료기술의 발전이 야기하는 문제에 대해 성찰해본다. 이를 통해 학생들에게 인간은 물론, 인간을 둘러싼 생태계에 존재하는 다양한 생명의 가치에 대해 올바른 판단을 할 수 있는 기본 토대를 제공한다. 둘째, 세계화되어 가는 현대사회가 필요로 하는 세계시민으로서의 윤리, 즉, 낯선 타인을 이해하고 그들과 더불어 사는 데 필요한 삶의 자세에 대해 논의해본다. 또한, 이러한 나눔의 자세를 익히는 데 토대가 되는 가치 판단의 기준들을 알아본다. 셋째, 현대사회의 다양한 문제들을 위의 ‘생명과 나눔’이라는 관점에서 어떻게 해결할 수 있을지 함께 모색해본다. 학생 개개인은 물론, 사회적 차원에서 어떠한 노력이 필요한지 논의해본다.",
248,11393015,생명과 나눔,강수경,93,유아교육학과,교양,대학세미나,"본 강의는 가천대의 건학 이념인 ‘박애·봉사·애국’의 기본적인 품성을 힘양하고 그것의 실천방법을 익히는 데 초점을 둔 가천대의 대표 교양 과목이다. 이웃과 국가, 나아가 인류를 사랑하고 사회적 약자를 보듬으며 살아가는 가천인으로 거듭나기 위해서는 무엇보다 생명존중의 의미를 가슴 깊이 이해하고, 이를 삶에 구현할 수 있도록 나눔의 태도를 몸에 익히는 것이 필요하다. 이에 본 수업에서는 생명과 나눔의 의미와 가치를 생명과학·윤리학·교육학·사회복지학 등 다양한 학문 분야를 아우르는 융합적인 관점에서 살펴보고, 나와 내 가족 뿐 아니라 모든 사회 구성원들의 생명이 존중받는 세상, 서로간의 나눔을 통해 보다 풍요로워지는 세상을 만들기 위한 구체적인 삶의 실천방식을 생각해볼 기회를 제공할 것이다.","본 수업의 목표는 상호 긴밀하게 연관되어 있는 세 부분으로 나누어 볼 수 있다. 첫째, 현대사회에서 생명공학과 생명의료기술의 발전이 야기하는 문제에 대해 성찰해본다. 이를 통해 학생들에게 인간은 물론, 인간을 둘러싼 생태계에 존재하는 다양한 생명의 가치에 대해 올바른 판단을 할 수 있는 기본 토대를 제공한다. 둘째, 세계화되어 가는 현대사회가 필요로 하는 세계시민으로서의 윤리, 즉, 낯선 타인을 이해하고 그들과 더불어 사는 데 필요한 삶의 자세에 대해 논의해본다. 또한, 이러한 나눔의 자세를 익히는 데 토대가 되는 가치 판단의 기준들을 알아본다. 셋째, 현대사회의 다양한 문제들을 위의 ‘생명과 나눔’이라는 관점에서 어떻게 해결할 수 있을지 함께 모색해본다. 학생 개개인은 물론, 사회적 차원에서 어떠한 노력이 필요한지 논의해본다.",
249,11393036,생명과 나눔,김유정,84.1,자유전공학부,교양,대학세미나,"본 강의는 가천대의 건학 이념인 ‘박애·봉사·애국’의 기본적인 품성을 힘양하고 그것의 실천방법을 익히는 데 초점을 둔 가천대의 대표 교양 과목이다. 이웃과 국가, 나아가 인류를 사랑하고 사회적 약자를 보듬으며 살아가는 가천인으로 거듭나기 위해서는 무엇보다 생명존중의 의미를 가슴 깊이 이해하고, 이를 삶에 구현할 수 있도록 나눔의 태도를 몸에 익히는 것이 필요하다. 이에 본 수업에서는 생명과 나눔의 의미와 가치를 생명과학·윤리학·교육학·사회복지학 등 다양한 학문 분야를 아우르는 융합적인 관점에서 살펴보고, 나와 내 가족 뿐 아니라 모든 사회 구성원들의 생명이 존중받는 세상, 서로간의 나눔을 통해 보다 풍요로워지는 세상을 만들기 위한 구체적인 삶의 실천방식을 생각해볼 기회를 제공할 것이다.","본 수업의 목표는 상호 긴밀하게 연관되어 있는 세 부분으로 나누어 볼 수 있다. 첫째, 현대사회에서 생명공학과 생명의료기술의 발전이 야기하는 문제에 대해 성찰해본다. 이를 통해 학생들에게 인간은 물론, 인간을 둘러싼 생태계에 존재하는 다양한 생명의 가치에 대해 올바른 판단을 할 수 있는 기본 토대를 제공한다. 둘째, 세계화되어 가는 현대사회가 필요로 하는 세계시민으로서의 윤리, 즉, 낯선 타인을 이해하고 그들과 더불어 사는 데 필요한 삶의 자세에 대해 논의해본다. 또한, 이러한 나눔의 자세를 익히는 데 토대가 되는 가치 판단의 기준들을 알아본다. 셋째, 현대사회의 다양한 문제들을 위의 ‘생명과 나눔’이라는 관점에서 어떻게 해결할 수 있을지 함께 모색해본다. 학생 개개인은 물론, 사회적 차원에서 어떠한 노력이 필요한지 논의해본다.",
250,11670001,한국사,황묘희,97.4,자유전공학부,교양,대학세미나,"고대부터 근현대까지 한국사의 전반적인 흐름과 그 시대의 특징을 파악할 수 있는 주제를 살펴봄으로써 한국사에 대한 이해도를 높이고, 역사적 사고와 판단을 할 수 있게끔 설계된 과목이다. 정치사, 사회경제사 및 문화사를 골고루 알 수 있도록 설계되었다.",이 강의를 수강한 후 학생들은 다음과 같은 능력을 성취할 수 있습니다. 1. 고대부터 근현대까지 한국사의 전개과정을 알 수 있다. 2. 우리 조상들의 삶이 시대별로 어떻게 변화되어 왔는지를 이해할 수 있다. 3. 균형잡힌 역사인식을 가지고 오늘의 현실을 파악하며 미래사회에 대한 전망을 할 수 있다.,
251,11670011,한국사,신수정,91.7,자유전공학부,교양,대학세미나,"고대에서 근현대까지 한국사의 전반적인 흐름과 시대의 특징을 파악할 수 있는 주제를 살펴봄으로써 한국사에 대한 이해도를 높이고, 역사적 사고와 판단을 할 수 있게끔 설계된 과목이다. 정치사, 사회경제사 및 문화사를 고루 알 수 있도록 설계되었다.","1. 고대부터 근현대까지 한국사의 전개과정을 알 수 있다. 2. 우리 조상들의 삶이 시대별로 어떻게 변화되어 왔는지를 이해할 수 있다. 3. 균형잡힌 역사인식을 가지고 오늘의 현실을 파악하며, 미래사회를 전망할 수 있다.",
252,11670012,한국사,장인모,94.3,자유전공학부,교양,대학세미나,"고대에서 근현대까지 한국사의 전반적인 흐름과 시대의 특징을 파악할 수 있는 주제를 살펴봄으로써 한국사에 대한 이해도를 높이고, 역사적 사고와 판단을 할 수 있게끔 설계된 과목이다. 정치사, 사회경제사 및 문화사를 고루 알 수 있도록 설계되었다.","1. 고대부터 근현대까지 한국사의 전개과정을 알 수 있다. 2. 우리 조상들의 삶이 시대별로 어떻게 변화되어 왔는지를 이해할 수 있다. 3. 균형잡힌 역사인식을 가지고 오늘의 현실을 파악하며, 미래사회를 전망할 수 있다.",
253,11670005,한국사,김소영,93.4,자유전공학부,교양,대학세미나,"고대에서 근현대까지 한국사의 전반적인 흐름과 시대의 특징을 파악할 수 있는 주제를 살펴봄으로써 한국사에 대한 이해도를 높이고, 역사적 사고와 판단을 할 수 있게끔 설계된 과목이다. 정치사, 사회경제사 및 문화사를 고루 알 수 있도록 설계되었다.","1. 고대부터 근현대까지 한국사의 전개과정을 알 수 있다. 2. 우리 조상들의 삶이 시대별로 어떻게 변화되어 왔는지를 이해할 수 있다. 3. 균형잡힌 역사인식을 가지고 오늘의 현실을 파악하며, 미래사회를 전망할 수 있다.",
254,11670002,한국사,김보광,92.2,가천리버럴아츠칼리지,교양,대학세미나,"고대에서 근현대까지 한국사의 전반적인 흐름과 시대의 특징을 파악할 수 있는 주제를 살펴봄으로써 한국사에 대한 이해도를 높이고, 역사적 사고와 판단을 할 수 있게끔 설계된 과목이다. 정치사, 사회경제사 및 문화사를 고루 알 수 있도록 설계되었다.","1. 고대부터 근현대까지 한국사의 전개과정을 알 수 있다. 2. 우리 조상들의 삶이 시대별로 어떻게 변화되어 왔는지를 이해할 수 있다. 3. 균형잡힌 역사인식을 가지고 오늘의 현실을 파악하며, 미래사회를 전망할 수 있다.",
255,11670007,한국사,이은희,91.4,자유전공학부,교양,대학세미나,"고대에서 근현대까지 한국사의 전반적인 흐름과 시대의 특징을 파악할 수 있는 주제를 살펴봄으로써 한국사에 대한 이해도를 높이고, 역사적 사고와 판단을 할 수 있게끔 설계된 과목이다. 정치사, 사회경제사 및 문화사를 고루 알 수 있도록 설계되었다.","1. 고대부터 근현대까지 한국사의 전개과정을 알 수 있다. 2. 우리 조상들의 삶이 시대별로 어떻게 변화되어 왔는지를 이해할 수 있다. 3. 균형잡힌 역사인식을 가지고 오늘의 현실을 파악하며, 미래사회를 전망할 수 있다.",
256,11670030,한국사,이하나,87.4,자유전공학부,교양,대학세미나,"고대에서 근현대까지 한국사의 전반적인 흐름과 시대의 특징을 파악할 수 있는 주제를 살펴봄으로써 한국사에 대한 이해도를 높이고, 역사적 사고와 판단을 할 수 있게끔 설계된 과목이다. 정치사, 사회경제사 및 문화사를 고루 알 수 있도록 설계되었다.","1. 고대부터 근현대까지 한국사의 전개과정을 알 수 있다. 2. 우리 조상들의 삶이 시대별로 어떻게 변화되어 왔는지를 이해할 수 있다. 3. 균형잡힌 역사인식을 가지고 오늘의 현실을 파악하며, 미래사회를 전망할 수 있다.",
258,13529212,College English 1,Isaac Alexander Kerson,95.8,국제어학원,교양,교양영어,X,"이 과정은 현실 세계의 의사소통 기술에 초점을 맞추고 있으며 학생들이 학업과 일상 환경에서 영어를 사용할 수 있도록 준비하기를 희망합니다. 본문 작업 외에도, 학생들은 발표 능력을 계발하고 발표 프로젝트를 완성해야 합니다.",
